Country Name,Avg Power (kWh per capita),Power Rank,Avg Energy (kg oil eq per capita),Energy Rank,Avg GHG (Mt CO2e),GHG Rank
Albania,2050.06,71,762.47,90,11.31,111
Algeria,1285.99,89,1273.38,72,206.36,35
Angola,275.68,114,455.65,109,128.92,45
Argentina,2839.30,57,1823.73,56,417.27,21
Armenia,1850.62,74,1021.21,78,8.13,123
Australia,10340.17,11,5478.43,13,594.60,14
Austria,8284.49,17,3848.24,24,76.76,57
Azerbaijan,2133.13,69,1513.95,64,47.99,75
Bahrain,20073.47,3,10632.50,3,54.25,71
Bangladesh,347.41,112,225.81,134,220.30,31
Belarus,3612.98,51,2858.44,35,49.06,73
Belgium,7953.28,19,4962.99,18,127.34,46
Benin,90.65,129,373.58,122,10.31,115
Bolivia,668.65,102,691.81,95,81.06,54
Bosnia and Herzegovina,3249.94,53,1810.61,57,22.31,94
Botswana,1559.73,82,1185.33,74,8.36,121
Brazil,2484.53,64,1375.96,69,1662.45,5
Brunei Darussalam,9449.97,14,8398.92,6,8.14,122
Bulgaria,4920.74,37,2630.11,42,52.08,72
Burkina Faso,88.90,130,243.02,133,64.12,60
Cambodia,343.98,113,379.06,120,89.84,51
Cameroon,258.90,115,381.44,119,-42.49,135
Canada,16129.83,5,7896.15,7,729.44,10
Chad,10.98,137,212.80,135,56.01,70
Chile,3769.30,49,1961.21,54,61.44,64
China,3813.72,48,2064.11,52,11195.49,1
Colombia,1300.58,88,782.35,88,266.59,30
"Congo, Dem. Rep.",109.86,126,332.23,126,296.15,29
"Congo, Rep.",238.83,117,486.41,106,-0.25,130
Costa Rica,1966.19,73,996.68,79,15.32,103
Cote d'Ivoire,229.47,118,424.52,115,44.50,77
Croatia,4010.96,45,2142.61,51,20.46,97
Cuba,1371.84,85,922.72,83,31.55,88
Cyprus,3950.63,46,1925.32,55,8.85,118
Czechia,6408.99,28,4129.70,20,134.84,43
Denmark,6121.64,30,3096.83,31,57.71,68
Dominican Republic,1468.42,84,819.05,87,39.62,85
Ecuador,1266.74,91,872.97,86,91.64,50
El Salvador,953.77,95,691.30,96,12.33,109
Equatorial Guinea,516.97,108,1386.96,68,21.86,95
Eritrea,91.69,128,266.17,132,5.68,126
Estonia,6575.70,26,4038.06,22,20.57,96
Eswatini,1095.79,93,966.70,81,-0.65,131
Ethiopia,63.86,133,375.18,121,219.01,32
Finland,15730.47,6,6291.35,11,45.85,76
France,7280.05,21,3811.57,25,439.14,19
Gabon,956.38,94,2377.17,45,-91.77,136
Georgia,2598.87,62,1104.70,75,10.41,113
Germany,6959.08,22,3804.50,26,881.59,8
Ghana,358.72,111,316.45,129,38.54,86
Greece,5300.82,35,2305.47,48,96.06,48
Guatemala,602.12,104,773.84,89,32.45,87
Haiti,67.70,131,394.08,118,13.67,107
Honduras,674.31,100,582.35,100,12.09,110
Hungary,4140.82,42,2650.51,41,62.48,63
Iceland,49261.10,1,16339.93,1,10.38,114
India,763.60,98,577.80,101,2753.93,3
Indonesia,778.70,97,727.24,93,1563.48,6
"Iran, Islamic Rep.",2810.98,59,2836.88,36,828.17,9
Ireland,5930.63,31,2962.76,33,71.80,58
Israel,6842.35,24,2698.51,39,79.88,55
Italy,5348.26,33,2703.50,37,429.44,20
Jamaica,1331.70,87,1026.04,77,7.89,124
