Country Name,Electric Power Consumption (kWh per capita),Energy Use (kg oil equivalent per capita),Greenhouse Gas Emissions (Mt CO2e)
Albania,2354.60026238182,761.957268109783,9.31297
Algeria,1591.97709300405,1372.00040514264,232.984
Angola,437.653350565236,397.633186643914,132.08969
Argentina,2827.42739776861,1624.17555252173,415.16231
Armenia,2114.13135235523,1233.30455891532,9.52302
Australia,9903.01937896971,5229.062652917,527.950186128816
Austria,8025.46724947246,3546.32771195638,71.9095156988954
Azerbaijan,2257.18090568814,1542.52180985426,51.35848
Bahrain,21437.2464685601,10832.91852134,63.1595
Bangladesh,509.945926958218,272.076572071717,251.933553
Belarus,3764.62480831458,2673.86548599188,51.0752642982567
Belgium,7420.741711909,4358.9412773027,115.37880559588
Benin,98.4685048831427,426.185478700943,13.69299
Bolivia,769.784176923756,657.745469205531,84.1521
Bosnia and Herzegovina,3513.72346484109,2152.73018925591,24.0468
Botswana,1504.29393709101,1119.82959014247,7.6837
Brazil,2624.84323723758,1375.83163242979,1581.4031
Brunei Darussalam,11837.1762433952,9175.89257228992,9.8944
Bulgaria,5011.67072756549,2517.25256562329,43.9072145828663
Burkina Faso,130.36176787318,263.88298802906,68.96367
Cambodia,705.929171274907,516.116717657277,77.01101
Cameroon,259.742657901446,386.883842275205,-37.8268
Canada,14750.3310531395,7485.62249555932,697.706858779863
Chad,13.9334962352564,193.032680479683,76.8367
Chile,4166.72173286725,1946.16760616995,74.363495666856
China,5261.94103890582,2472.54314843967,13157.4247
Colombia,1470.27462790488,810.052298592826,294.929792165627
"Congo, Dem. Rep.",130.534433389612,372.066377241717,53.126412
"Congo, Rep.",369.559749346013,586.736109679603,9.7219
Costa Rica,2022.31880373119,948.979659241415,11.2988
Cote d'Ivoire,290.017976203655,375.317183892023,56.707907
Croatia,4164.06290317883,2104.84530641676,19.1994425257226
Cuba,1398.39879803378,854.374889761112,12.5382
Cyprus,3540.03503175665,1638.57191138119,9.03013001456209
Czechia,6286.67907164219,3764.58101151339,129.188579536345
Denmark,5690.91079952615,2637.52222084736,46.330488823974
Dominican Republic,1541.29157090559,842.611820450654,45.209494
Ecuador,1467.10957699062,785.425200484029,80.79912764
El Salvador,989.466488458978,669.910725026867,10.871882
Equatorial Guinea,732.317759492166,1121.3790829434,17.8904
Eritrea,98.746046739998,284.944148661073,6.0843
Estonia,7030.34624474059,3366.74622873232,16.6727175778739
Eswatini,1092.45268623468,991.485746872995,-0.606379
Ethiopia,93.3839345037291,380.656754967252,293.0266319946
Finland,14688.7364832862,5739.07303589647,40.884149816
France,6676.20694393923,3224.46770851692,373.910178603699
Gabon,1022.15721673565,2140.11585242125,-89.0412
Georgia,3150.65667109712,1327.38644455455,12.4224
Germany,6367.10502947955,3349.19012313459,746.289025606175
Ghana,503.546668885278,367.161102921615,53.54113
Greece,4851.28940714574,1840.48388256342,66.2543148528736
Guatemala,679.252131304795,823.751784803862,41.6548
Haiti,77.7313958708798,398.394138508433,14.64925
Honduras,676.901549857505,544.573855679284,12.8956
Hungary,4458.18827999449,2690.99272363692,58.6894096798909
